crab.number,year,month,day,zone,location,vessel,missing.legs.left,missing.legs.right,shell.condition,maturity,carapace.width,abdomen.width,weight,egg.colour,egg.development,gonad.colour,eggs.remaining,egg.weight,sample.egg.count,sample.egg.weight,fecundity,comment
59,2012,8,17,12,Bradelle Bank,Marco Michel,,2H 3H 4H,3,P,50.03,34.16,38.3,OF,4,O,50,-,-,-,#VALUE!,Many broken eggs stuck together
60,2012,8,17,12,Bradelle Bank,Marco Michel,2,,4,M,45.87,31.05,37.7,OF,9,O,50,0.7051,633,0.0325,13733,
61,2012,8,17,12,Bradelle Bank,Marco Michel,,2,3,P,47.50,31.44,36.1,OF,6,O,50,0.8233,654,0.0354,15210,
62,2012,8,17,12,Bradelle Bank,Marco Michel,,5R,3,P,47.19,31.34,34.9,OF,7,O,25,0.6547,645,0.0303,13937,"No pleo in cup, sampler removed pleopods before drying eggs"
63,2012,8,17,12,Bradelle Bank,Marco Michel,2R,,3,P,45.04,31.14,30.6,OF,7,O,50,,,,#DIV/0!,
64,2012,8,17,12,Bradelle Bank,Marco Michel,5H,4H 5H,3,P,45.73,30.78,29.1,OF,7,OC,50,0.6594,623,0.0314,13083,
65,2012,8,17,12,Bradelle Bank,Marco Michel,"2R,5",,3,P,45.37,32.35,36.9,OF,1-3,O,75,0.4514,700,0.0310,10193,"2 pleo in cup only,  sampler removed pleopods before drying eggs "
66,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,44.21,28.49,32.0,OF,1-3,OC,75,1.1318,576,0.0305,21374,
67,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,44.71,30.44,32.8,OF,7,O,50,0.6720,586,0.0305,12911,Dry eggs
68,2012,8,17,12,Bradelle Bank,Marco Michel,1,,4,M,72.66,52.11,130.7,OF,1-3,OC,50,2.7582,581,0.0316,50712,
69,2012,8,17,12,Bradelle Bank,Marco Michel,,5H,4,M,67.69,46.61,116.3,OF,9,O,100,3.7079,563,0.0319,65440,
70,2012,8,17,12,Bradelle Bank,Marco Michel,1R,1H 2H,4,M,61.39,42.73,104.3,OF,9,O,100,2.4255,519,0.0307,41004,
71,2012,8,17,12,Bradelle Bank,Marco Michel,,"4,5",4,M,69.11,47.88,108.6,OF,1-3,O,75,3.7511,520,0.0303,64375,
72,2012,8,17,12,Bradelle Bank,Marco Michel,"3,4",,3M,M,66.42,45.39,129.3,OF,1-3,O,100,3.1456,559,0.0308,57091,
73,2012,8,17,12,Bradelle Bank,Marco Michel,,"2,3",4,M,66.57,45.78,92.0,OF,9,O,75,2.6650,511,0.0306,44504,
74,2012,8,17,12,Bradelle Bank,Marco Michel,2,5,4,M,67.77,46.07,108.8,OF,4,O,75,3.6416,504,0.0307,59784,
75,2012,8,17,12,Bradelle Bank,Marco Michel,,,2,P,66.21,47.67,107.2,OF,7,O,75,2.4737,534,0.0309,42749,
76,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,M,62.80,45.28,93.6,OF,9,O,75,1.9058,626,0.0305,39116,
77,2012,8,17,12,Bradelle Bank,Marco Michel,"1H,3",2,4,M,62.46,43.75,79.6,OF,9,O,75,,,,#DIV/0!,
78,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,61.49,40.93,75.1,OF,7,O,50,1.5539,581,0.0311,29029,
79,2012,8,17,12,Bradelle Bank,Marco Michel,,"2,3",3,P,57.36,40.37,59.8,OF,7,O,50,1.3558,571,0.0304,25466,"No pleo in cup, sampler removed pleopods before drying eggs"
80,2012,8,17,12,Bradelle Bank,Marco Michel,"1H,2,5",1H,4,M,60.37,41.71,74.4,OF,8,O,75,2.4131,593,0.0313,45718,
81,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,54.49,39.17,68.4,OF,1-3,O,75,2.2467,504,0.0297,38126,
82,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,58.01,37.66,77.5,OF,9,O,100,1.5600,570,0.0299,29739,"No pleo in cup, sampler removed pleopods before drying eggs"
83,2012,8,17,12,Bradelle Bank,Marco Michel,"3R,4R",,4,M,58.61,39.92,83.3,OF,1-3,OC,100,2.3442,456,0.0309,34594,
84,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,57.27,39.58,73.5,OF,1-3,O,75,,,,#DIV/0!,
85,2012,8,17,12,Bradelle Bank,Marco Michel,,"1R,2",4,M,54.04,36.41,56.1,OF,4,O,50,1.8149,521,0.0306,30901,
86,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,53.82,36.15,57.0,OF,1-3,O,75,1.8401,513,0.0308,30648,
87,2012,8,17,12,Bradelle Bank,Marco Michel,5,,4,M,53.97,37.56,56.8,OF,4,O,50,,,,#DIV/0!,
88,2012,8,17,12,Bradelle Bank,Marco Michel,5H,2,4,M,52.27,38.01,59.2,OF,1-3,O,75,,,,#DIV/0!,
89,2012,8,17,12,Bradelle Bank,Marco Michel,2,"1,4",4,M,50.57,33.66,46.5,OF,1-3,OC,50,1.5747,524,0.0312,26447,
90,2012,8,17,12,Bradelle Bank,Marco Michel,,"2,3",4,M,51.63,34.03,48.2,OF,1-3,O,75,1.5751,591,0.0314,29646,
91,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,48.22,33.80,43.4,OF,1-3,O,50,1.3962,514,0.0307,23376,
92,2012,8,17,12,Bradelle Bank,Marco Michel,,"2,5",4,M,50.04,33.86,45.1,OF,4,O,75,,,,#DIV/0!,
93,2012,8,17,12,Bradelle Bank,Marco Michel,3R ,,3,P,47.58,31.74,38.3,OF,7,O,50,,,,#DIV/0!,
94,2012,8,17,12,Bradelle Bank,Marco Michel,,"2,3",4,M,48.61,34.36,47.2,OF,9,O,100,,,,#DIV/0!,
95,2012,8,17,12,Bradelle Bank,Marco Michel,5,,3M,M,47.97,32.18,40.0,OF,1-3,O,50,,,,#DIV/0!,
96,2012,8,17,12,Bradelle Bank,Marco Michel,,3,4,M,47.71,32.66,44.2,OF,9,O,100,,,,#DIV/0!,black eggs
97,2012,8,17,12,Bradelle Bank,Marco Michel,,"2H,5",3,P,45.55,29.21,32.7,OF,8,O,50,0.7604,654,0.0305,16305,
98,2012,8,17,12,Bradelle Bank,Marco Michel,"1,2",5,4,M,48.18,31.40,36.7,OF,1-3,OC,75,1.0844,567,0.0305,20159,
99,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,74.29,50.34,150.6,OF,9,O,75,,,,#DIV/0!,
100,2012,8,17,12,Bradelle Bank,Marco Michel,,"3,5",3,P,45.42,29.53,31.0,OF,8,O,50,,,,#DIV/0!,
101,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,72.05,49.98,127.9,OF,10-11,BE,25,,,,#DIV/0!,
102,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,58.34,40.21,67.2,OF,8,O,50,,,,#DIV/0!,
103,2012,8,17,12,Bradelle Bank,Marco Michel,5H,3,4,M,64.62,43.52,95.6,OF,3-4,OC,50,3.6082,455,0.0304,54004,
104,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,57.03,38.56,65.7,OF,6,O,50,,,,#DIV/0!,
105,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,64.89,45.04,107.1,OF,1-3,OC,75,2.8841,541,0.0304,51326,
106,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,44.07,29.93,33.3,OF,1-3,O,75,1.1394,498,0.0300,18914,
107,2012,8,17,12,Bradelle Bank,Marco Michel,,5H,4,M,75.59,51.77,158.1,OF,1-3,OC,50,,,,#DIV/0!,
108,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,53.84,36.91,60.5,OF,8,O,75,,,,#DIV/0!,
109,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,54.39,35.94,52.3,OF,8,O,50,,,,#DIV/0!,
110,2012,8,17,12,Bradelle Bank,Marco Michel,,5,4,M,67.67,46.10,105.1,OF,9-10,O,100,,,,#DIV/0!,
111,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,48.27,32.05,37.9,OF,8,O,50,,,,#DIV/0!,
112,2012,8,17,12,Bradelle Bank,Marco Michel,3,,4,M,68.30,44.29,108.1,OF,9,OC,75,1.6471,570,0.0309,30383,
113,2012,8,17,12,Bradelle Bank,Marco Michel,4,,3,P,53.74,35.28,53.3,OF,8,O,50,,,,#DIV/0!,
114,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,68.18,48.81,122.8,OF,9-10,O,100,3.7036,510,0.0301,62752,
115,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,51.40,36.68,49.0,OF,8,O,75,,,,#DIV/0!,
116,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,76.02,54.61,160.3,OF,9,O,75,3.8067,554,0.0305,69145,
117,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,59.42,38.96,65.0,OF,8,O,25,1.3805,581,0.0308,26041,
118,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,81.49,56.80,190.1,OF,1-3,O,75,6.9358,484,0.0310,108288,
119,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,57.24,39.26,69.8,OF,1-3,O,75,,,,#DIV/0!,
120,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,65.04,47.09,108.2,OF,9,O,100,,,,#DIV/0!,
121,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,53.03,35.31,55.2,OF,5,O,50,,,,#DIV/0!,
122,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,57.23,37.79,78.9,OF,5,O,75,2.4366,512,0.0312,39985,Development not clear
123,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,61.64,41.09,86.6,OF,1-3,O,75,,,,#DIV/0!,Development not clear
124,2012,8,17,12,Bradelle Bank,Marco Michel,,4,4,M,57.38,38.09,66.8,OF,1-3,O,75,,,,#DIV/0!,
