Sampler ID,Process,Date Measured,Survey Tow ID,Crab #,Time (out of formalin),Abdomen Width,Abdomen Height,Combined Wet Weight,Wet Weight (egg and pleopods),Wet Weight Setaes Only,Wet Weight Abdomen (flap),Rinse Start Time,Rinse End Time,Total Weight (dry uncleaned eggs),Date of Egg Cleaning, Dry Weight (Egg Dust Only),Date Weighed (Egg Dust Only),Dry Weight (Pleopods Only),Date Weighed (Dry Pleopods Only),Dry Weight (Pleopods Plus Dust),Date Weighed (Pleopod plus Dust) ,Dry Weight 1 (clean dry eggs/Out of Oven),Number in Subsample 1,Weight of Subsample 1,Dry Weight 2 (clean dry eggs/Out of Oven),Number in Subsample 2,Weight of Subsample 2,Date Eggs Were Counted,Start Time (counting),End Time (Counting),Development Stage,WEIGHT TO ADD?,Comments 1 (rincage),Comments 2 (nettoyage), Comments 3 (development),LEGENDE
Murray 1,less clean &WBC,20/12/2019,161f,63,10h06,41.89,27.16,10.1675,6.8258,0.5186,2.3728,11h58,13h11,2.1120,16/1/2020,*,*,*,*,0.1050,21/1/2020,1.9808,513,0.0307,*,*,*,*,13h14,13h34,9,,,,,
2,less clean &WBC,20/12/2019,161f,63,10h06,41.89,27.16,10.1675,6.8258,0.5186,2.3728,11h58,13h11,2.1120,16/1/2020,*,*,*,*,0.0020,23/1/2020,1.9739,526,0.0313,*,*,*,*,9h56,10h19,*,,,,,
Murray 1,less clean &WBC,*,146f,129,13h23,40.13,26.57,9.3245,6.1902,0.6128,2.1970,13h53,15h07,1.8941,15/1/2020,*,*,*,*,0.0728,21/1/2020,1.7977,552,0.0370,*,*,*,*,10h15,10h46,4,,,oily,,
2,less clean &WBC,*,146f,129,13h23,40.13,26.57,9.3245,6.1902,0.6128,2.1970,13h53,15h07,1.8941,15/1/2020,*,*,*,*,0.0018,23/1/2020,1.7879,515,0.0348,*,*,*,*,8h04,8h28,*,,,,,
Murray,WBC,*,252f,162,*,*,*,*,*,*,*,*,*,1.7944,6/1/2020,*,*,*,*,0.0787,7/1/2020,1.6926,558,0.0322,*,*,*,10/1/2020,13h14,13h58,4,,,,,
Emily,*,*,215A2,185,*,*,*,*,*,*,*,*,*,1.6883,6/1/2020,*,*,*,*,0.0614,10/1/2020,1.5842,554,0.0333,*,*,*,10/1/2020,11h33,11h48,4,,,,,
Murray,WBC,*,268f,113,*,*,*,*,*,*,*,*,*,1.3638,8/1/2020,*,*,*,*,0.0447,13/1/2020,1.2996,571,0.0312,*,*,*,13/1/2020,11h22,11h55,NF,,lots of loose eggs,,,
Emily ,*,17/1/2020,093A2,69,10h06,44.22,28.46,9.6373,6.0418,0.5959,2.6338,10h45,13h07,2.0184,27/1/2020,0.0217,*,0.0342,*,0.0559,*,1.9516,523,0.0321,*,*,*,3/2/2020,10h56,11h10,NA,,,,Bouin's Dried,
Emily ,*,17/1/2020,102f,94,10h06,41.13,26.89,8.6410,5.4014,0.6346,2.4029,10h56,13h10,1.6008,24/1/2020,0.0145,*,0.0304,*,0.0449,*,1.5511,498,0.0292,*,*,*,27/1/2020,13h05,13h23,NA,,,,Bouin's Dried,
Emily ,*,17/1/2020,070A1,124,10h06,36.77,23.54,8.3741,5.8429,0.4408,1.8040,11h03,13h12,1.9514,24/1/2020,0.0180,*,0.0230,*,0.0410,*,1.9066,549,0.0334,*,*,*,3/2/2020,14h45,15h04,NA,,,,Bouin's Dried,
Emily ,*,17/1/2020,095f,89,10h06,40.40,25.88,8.2346,5.2411,0.6331,1.9951,11h10,13h15,1.7457,24/1/2020,0.0168,*,0.0227,*,0.0395,*,1.7004,529,0.0310,*,*,*,3/2/2020,14h28,14h45,4,,,oily,,
Emily ,*,17/1/2020,095f,88,10h06,40.09,25.51,8.0001,5.1541,0.5935,1.8024,11h15,13h10,1.7529,27/1/2020,0.0159,*,0.0195,*,0.0354,*,1.7080,506,0.0307,*,*,*,29/1/2020,10h49,11h07,NA,,,oily,Bouin's Dried,
Emily & Murray ,WBC,17/1/2020,201A2,39,11h15,30.48,19.39,4.3187,2.7434,0.2760,1.0825,11h37,13h19,0.7486,28/1/2020,0.0072,*,0.0110,*,0.0182,*,0.7224,542,0.0320,*,*,*,31/1/2020,9h20,9h52,NA,,,,Bouin's Dried,
Emily & Murray ,WBC,17/1/2020,102F,93,11h15,48.92,29.30,18.4177,12.3932,1.0526,4.3543,11h43,13h19,3.8288,24/1/2020,0.0398,*,0.0613,*,0.1011,*,3.7086,566,0.0361,*,*,*,31/1/2020,11h10,11h37,NF,,,very dirty,,
Emily ,*,17/1/2020,218F,51,11h15,34.61,21.00,5.3780,3.4032,0.3214,1.2694,11h50,13h15,1.0961,24/1/2020,0.0091,*,0.0135,*,0.0226,*,1.0700,540,0.0266,*,*,*,3/2/2020,15h06,15h24,NF,,,,,
Emily ,*,17/1/2020,110F,52,13h25,36.89,24.68,9.5739,6.9810,0.3952,1.9170,13h56,15h02,2.2929,28/1/2020,0.0321,*,0.0206,*,0.0527,*,2.2285,518,0.0334,*,*,*,3/2/2020,11h12,11h24,4,,,,,
Emily & Murray ,WBC,17/1/2020,062F,55,13h25,40.64,24.84,10.9818,7.2509,0.7455,2.5643,14h02,15h04,2.0222,28/1/2020,0.0216,*,0.0304,*,0.0520,*,1.9488,518,0.0286,*,*,*,31/1/2020,10h09,10h40,4,,,,,
