"date","tow.id","tow.number","crab.number","sampler","process","carapace.width","abdomen.width","abdomen.height","shell.condition","egg.development","egg.weight","egg.colour","gonad.colour","egg.colour.L","egg.colour.a","egg.colour.b","egg.weight.sample","egg.count.sample","egg.weight.2","egg.weight.sample.2","egg.count.sample.2","date.measured","date.counting","start.time.counting","end.time.counting","rinse.start.time","rinse.end.time","comment.egg.development","comment.rinsing","comments.cleaning"
"2019-07-27","GP141F",4,96,"Murray","Min",63.31,43.76,29.16,2,"8",2.5049,1,"orange",46.09,30.6,51.42,0.0295,536,NA,NA,NA,"2021-03-10","2021-03-26","","","09:54:00","12:56:00","","",""
"2019-07-27","GP123F",10,166,"Emily","Min",58.59,42.46,24.71,2,"5",1.5731,1,"orange",44.69,28.51,45.46,0.0324,579,NA,NA,NA,"2020-03-02","2020-03-09","","","13:24:00","14:30:00","","",""
"2019-07-27","GP147F",11,87,"Emily & Murray","Min",56.02,38.9,25.11,3,"9",1.4103,2,"orange",36.85,26.06,35.99,0.031,563,NA,NA,NA,"2020-03-12","2021-01-04","","","11:02:00","13:05:00","","",""
"2019-07-27","GP147F",11,88,"Murray","Min",52.93,36.94,23.98,2,"NF",1.3087,1,"orange",45.7,29.81,50.6,0.0303,543,NA,NA,NA,"2021-03-09","2021-03-26","","","10:18:00","14:26:00","Not fertilized","",""
"2019-07-27","GP149F",12,159,"Murray","Min",63.12,44.07,29.82,3,"8",2.1854,2,"orange",39.14,24.34,35.57,0.0307,560,NA,NA,NA,"2021-03-11","2021-03-30","","","11:24:00","14:31:00","","",""
"2019-07-27","GP149F",12,167,"Murray","Min",50.07,36.04,23.86,2,"NF",1.0501,1,"orange",45.95,32.45,52.95,0.0305,540,NA,NA,NA,"2021-03-10","2021-03-26","","","10:04:00","13:00:00","Not fertilized","",""
"2019-07-28","GP158F",1,119,"Emily & Murray","Min",59.45,43.62,29.52,4,"9",1.7212,2,"orange",35.02,24.69,31.45,0.0305,546,NA,NA,NA,"2020-03-12","2020-12-23","","","09:56:00","11:32:00","","",""
"2019-07-28","GP158F",1,120,"Murray","Min",45.09,32.46,21.57,2,"7",0.8792,1,"orange",44.8,27.77,52.17,0.03,546,NA,NA,NA,"2021-03-09","2021-03-25","","","09:38:00","14:09:00","","","oily"
"2019-07-28","GP176F",2,196,"Murray","Min",60.23,42.36,30.24,3,"3",3.2232,1,"beige",45.41,25.07,46.92,0.0295,421,NA,NA,NA,"2021-03-19","2021-04-01","","","11:33:00","13:09:00","","",""
"2019-07-28","GP176F",2,197,"Emily","Min",54.26,38.33,23.93,2,"6",1.5536,1,"orange",41.92,23.06,45.6,0.03,479,NA,NA,NA,"2020-03-13","2021-03-22","","","14:51:00","16:11:00","","",""
"2019-07-28","GP179F",3,225,"Murray","Min",54.64,39.4,27.27,3,"NF",2.4428,1,"orange",42.52,30.16,45.41,0.0279,438,NA,NA,NA,"2021-03-09","2021-03-26","","","11:32:00","15:00:00","Not fertilized","",""
"2019-07-28","GP179F",3,226,"Emily","Min",60.82,43.53,28.44,2,"8",2.0515,1,"orange",37.18,27.08,37.56,0.0302,502,NA,NA,NA,"2020-03-13","2021-03-12","","","09:57:00","13:22:00","","",""
"2019-07-28","GP163F",4,168,"Emily","Min",59.09,42.19,27.29,2,"4B",1.9099,1,"orange",43.97,31.3,50.88,0.0307,506,NA,NA,NA,"2020-03-13","2021-03-17","","","09:04:00","13:29:00","Big patches of stain","",""
"2019-07-28","GP163F",4,178,"Emily & Murray","Min",54.95,37.35,25.67,4,"9",2.3671,2,"orange",35.2,21.22,30.56,0.031,475,NA,NA,NA,"2020-03-06","2020-12-17","","","11:37:00","13:24:00","","","parasites"
"2019-07-28","GP150A2",7,47,"Emily","Min",55.62,39.04,25.01,2,"",1.5506,1,"orange",45.38,30.6,52.76,0.0308,483,NA,NA,NA,"2020-03-13","2021-03-17","","","08:59:00","13:29:00","Bouin's dried","",""
"2019-07-28","GP150A2",7,48,"Murray","Min",66.68,47.47,30.69,3,"NF",2.3222,2,"orange",41.96,24.08,42.44,0.0409,466,NA,NA,NA,"2021-03-19","2021-04-01","","","09:36:00","12:52:00","Not fertilized","missing setae & lots of loose eggs",""
