"date.sampled","start.time","date.measured","zone","location","vessel","sampler","latitude","longitude","depth","trap","crab.number","sex","shell.condition","carapace.width","chela.height","abdomen.width","egg.colour","eggs.remaining","gonad.colour","egg.details","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,3,"M",2.5,66.87,13.26,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"M Recent Moulted",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,4,"M",3,72,15.58,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,5,"M",2.5,70.08,15.63,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"M Recent Moulted",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,6,"M",2.5,75.01,12.87,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Skip Moult",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,7,"M",2.5,65.25,12.91,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Skip Moult ?",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,8,"M",3,74.64,13.5,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Skip Moult",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,9,"M",3,74.23,15.56,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,10,"M",2.5,78.37,16.41,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,11,"M",3,75.88,16.7,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,12,"M",2.5,68.47,13.07,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Skip Moult",NA,NA,NA
